MsgSize,Run,KeyGen,Enc,Dec,CiphertextSize,Status
16,1,0.052254799753427505,0.0919361999258399,0.04961630003526807,97,OK
16,2,0.04486340004950762,0.0878094001673162,0.046069399919360876,97,OK
16,3,0.04550540028139949,0.09598569991067052,0.05015719961374998,97,OK
16,4,0.04624029994010925,0.0990943000651896,0.04771609976887703,97,OK
16,5,0.04462879989296198,0.09197079995647073,0.043902500066906214,97,OK
16,6,0.04474069969728589,0.0904273996129632,0.04459099983796477,97,OK
16,7,0.04398200009018183,0.08775849966332316,0.04458820028230548,97,OK
16,8,0.04542290000244975,0.09087379975244403,0.04582080012187362,97,OK
16,9,0.045394300017505884,0.09188959980383515,0.047143499832600355,97,OK
16,10,0.04369099996984005,0.09395189955830574,0.048607499804347754,97,OK
16,11,0.04928410006687045,0.09841109998524189,0.04797950014472008,97,OK
16,12,0.04827000014483929,0.0982675002887845,0.04765560012310743,97,OK
16,13,0.045268900226801634,0.09205990005284548,0.04506220016628504,97,OK
16,14,0.04455409990623593,0.09308299981057644,0.04823909979313612,97,OK
16,15,0.04527009977027774,0.09111389983445406,0.04584160028025508,97,OK
16,16,0.05000360030680895,0.09399539977312088,0.04891280038282275,97,OK
16,17,0.046322000212967396,0.0898150997236371,0.05042979959398508,97,OK
16,18,0.044237600173801184,0.09316379996016622,0.0444497000426054,97,OK
16,19,0.044431600254029036,0.09379860013723373,0.044959899969398975,97,OK
16,20,0.0460618999786675,0.09245730005204678,0.04885450005531311,97,OK
16,21,0.0486650001257658,0.09871200006455183,0.05094729969277978,97,OK
16,22,0.045706700067967176,0.09379280032590032,0.04545730026438832,97,OK
16,23,0.0444005997851491,0.09566670004278421,0.04454239970073104,97,OK
16,24,0.048265399876981974,0.09709590021520853,0.05343279987573624,97,OK
16,25,0.04751760000362992,0.09051730018109083,0.04725630022585392,97,OK
16,26,0.0454776999540627,0.1305245002731681,0.04620869969949126,97,OK
16,27,0.0465084002353251,0.10123130027204752,0.04493370000272989,97,OK
16,28,0.04576859995722771,0.09012660011649132,0.04546849988400936,97,OK
16,29,0.04352419963106513,0.09248220035806298,0.04425490042194724,97,OK
16,30,0.049035599920898676,0.09476380003616214,0.04772880021482706,97,OK
16,31,0.04761849995702505,0.09778589988127351,0.05019820015877485,97,OK
16,32,0.048239900264889,0.0934859998524189,0.04968690034002066,97,OK
16,33,0.04803270008414984,0.10566650005057454,0.05014270031824708,97,OK
16,34,0.048481599893420935,0.10030700033530593,0.05227860016748309,97,OK
16,35,0.051440800074487925,0.09486910002306104,0.04853279981762171,97,OK
16,36,0.04660960007458925,0.09198020026087761,0.04581429995596409,97,OK
16,37,0.047101699747145176,0.09256110014393926,0.047212999779731035,97,OK
16,38,0.04589539999142289,0.10166279971599579,0.04977659974247217,97,OK
16,39,0.04840969992801547,0.09298489987850189,0.04642689973115921,97,OK
16,40,0.04662360018119216,0.0967037002556026,0.04717310005798936,97,OK
16,41,0.04784160014241934,0.10208209976553917,0.048458700068295,97,OK
16,42,0.04549630032852292,0.0967430998571217,0.04642700031399727,97,OK
16,43,0.044102299958467484,0.09734510025009513,0.04650240018963814,97,OK
16,44,0.04577750014141202,0.09705889970064163,0.04762369999662042,97,OK
16,45,0.046890399884432554,0.09311849996447563,0.04930640012025833,97,OK
16,46,0.047676400281488895,0.09522440005093813,0.0479220999404788,97,OK
16,47,0.04912489978596568,0.09415860008448362,0.048027700278908014,97,OK
16,48,0.04478139989078045,0.09234659979119897,0.04640530003234744,97,OK
16,49,0.048046600073575974,0.10054979985579848,0.054199600126594305,97,OK
16,50,0.050681599881500006,0.09333459986373782,0.04658049996942282,97,OK
32,1,0.046296299900859594,0.17776430025696754,0.10090219974517822,194,OK
32,2,0.04704639967530966,0.19136410020291805,0.09251970006152987,194,OK
32,3,0.04588979994878173,0.19019060023128986,0.09559480007737875,194,OK
32,4,0.04320090031251311,0.1763710998930037,0.09230879973620176,194,OK
32,5,0.04615879990160465,0.18768440000712872,0.08901689993217587,194,OK
32,6,0.04335090005770326,0.17264770017936826,0.0898895999416709,194,OK
32,7,0.05163689982146025,0.18296710029244423,0.09662580024451017,194,OK
32,8,0.04404300032183528,0.188283100258559,0.09016939997673035,194,OK
32,9,0.04843079997226596,0.18088410003110766,0.09520049998536706,194,OK
32,10,0.04558870010077953,0.1828911998309195,0.09356479998677969,194,OK
32,11,0.048377500381320715,0.1869383999146521,0.09938120003789663,194,OK
32,12,0.0474264002405107,0.18504050001502037,0.09763960028067231,194,OK
32,13,0.045636399649083614,0.19533369969576597,0.09268130036070943,194,OK
32,14,0.049029599875211716,0.21676820004358888,0.10422929981723428,194,OK
32,15,0.04826700035482645,0.18593090027570724,0.09487409982830286,194,OK
32,16,0.047588199842721224,0.1851901998743415,0.09652059990912676,194,OK
32,17,0.04973970027640462,0.18417300004512072,0.09412640007212758,194,OK
32,18,0.04608380002900958,0.19219219963997602,0.09708870016038418,194,OK
32,19,0.05010659992694855,0.193140699993819,0.09568519983440638,194,OK
32,20,0.04663110012188554,0.1936621000058949,0.09436699980869889,194,OK
32,21,0.050740799866616726,0.1972186998464167,0.09263340011239052,194,OK
32,22,0.04617740027606487,0.18694249959662557,0.09720840025693178,194,OK
32,23,0.0486802002415061,0.1909447000361979,0.09509579977020621,194,OK
32,24,0.04529309971258044,0.1866919999010861,0.09475810034200549,194,OK
32,25,0.048064100090414286,0.192136500030756,0.09549249988049269,194,OK
32,26,0.04761279979720712,0.18524809973314404,0.09517029998824,194,OK
32,27,0.04711110005155206,0.1895929998718202,0.09216520003974438,194,OK
32,28,0.04535060003399849,0.18702609976753592,0.10269449977204204,194,OK
32,29,0.04744420014321804,0.19096009992063046,0.10060170013457537,194,OK
32,30,0.04834570037201047,0.18855429999530315,0.09080579970031977,194,OK
32,31,0.04466770030558109,0.19168859999626875,0.10050040017813444,194,OK
32,32,0.045696299988776445,0.1876213001087308,0.09428909979760647,194,OK
32,33,0.04667409975081682,0.18840540014207363,0.10048680007457733,194,OK
32,34,0.044974599964916706,0.19248969992622733,0.09415689995512366,194,OK
32,35,0.04542940016835928,0.18318930035457015,0.09765820018947124,194,OK
32,36,0.046755199786275625,0.19216430000960827,0.10169580020010471,194,OK
32,37,0.04716410022228956,0.1960113001987338,0.09727289993315935,194,OK
32,38,0.051090499851852655,0.24108059983700514,0.10472900001332164,194,OK
32,39,0.047362000215798616,0.2059383997693658,0.10272959992289543,194,OK
32,40,0.046825800091028214,0.19076699996367097,0.09985719993710518,194,OK
32,41,0.04726970009505749,0.19146039988845587,0.09053570032119751,194,OK
32,42,0.05026269983500242,0.18451019981876016,0.09621900040656328,194,OK
32,43,0.0439708000048995,0.18852840038016438,0.09119710000231862,194,OK
32,44,0.0465271002613008,0.17924420023337007,0.09125329973176122,194,OK
32,45,0.047699599992483854,0.18893579998984933,0.0916090002283454,194,OK
32,46,0.04499110020697117,0.190429899841547,0.09243660001084208,194,OK
32,47,0.046488499734550714,0.18528669979423285,0.09693449968472123,194,OK
32,48,0.045444800052791834,0.18146419990807772,0.09563759993761778,194,OK
32,49,0.046636899933218956,0.18011699989438057,0.09445439977571368,194,OK
32,50,0.047857099678367376,0.18112289998680353,0.0903664999641478,194,OK
64,1,0.04503579996526241,0.2625608998350799,0.13823199970647693,291,OK
64,2,0.04486509971320629,0.27976629976183176,0.1372925997711718,291,OK
64,3,0.04325290024280548,0.27888230001553893,0.14334619976580143,291,OK
64,4,0.04722000006586313,0.2869726000353694,0.14618549961596727,291,OK
64,5,0.04679200006648898,0.2743517002090812,0.13660670025274158,291,OK
64,6,0.04829459963366389,0.2790804002434015,0.14366700034588575,291,OK
64,7,0.04704670002683997,0.2815362000837922,0.134621299803257,291,OK
64,8,0.04557490022853017,0.4658617996610701,0.3446239000186324,291,OK
64,9,0.12034530006349087,0.5482076001353562,0.21432849997654557,291,OK
64,10,0.0756614999845624,0.5528409001417458,0.27392740035429597,291,OK
64,11,0.10949720023199916,0.4670847998932004,0.20574739994481206,291,OK
64,12,0.09805999975651503,0.4131394000723958,0.2799232001416385,291,OK
64,13,0.0857269000262022,0.5398430996574461,0.27434919960796833,291,OK
64,14,0.08647610014304519,0.5669761998578906,0.29013160010799766,291,OK
64,15,0.10513429995626211,0.5171469999477267,0.2603150997310877,291,OK
64,16,0.08209830010309815,0.5574652999639511,0.2807706999592483,291,OK
64,17,0.08810020005330443,0.5154154999181628,0.2587999003008008,291,OK
64,18,0.07566450024023652,0.5731329000554979,0.2637269999831915,291,OK
64,19,0.056773300282657146,0.5477531999349594,0.2909858003258705,291,OK
64,20,0.09077819995582104,0.638047399930656,0.2688146000728011,291,OK
64,21,0.0703830998390913,0.4447220000438392,0.26557300006970763,291,OK
64,22,0.06448369985446334,0.4858201998285949,0.2953010997734964,291,OK
64,23,0.08111200015991926,0.40512670017778873,0.284736099652946,291,OK
64,24,0.10736929997801781,0.4783661002293229,0.2375432001426816,291,OK
64,25,0.08041250007227063,0.5442796000279486,0.24651340022683144,291,OK
64,26,0.08448339998722076,0.59839339973405,0.24159910017624497,291,OK
64,27,0.09018430020660162,0.6279361001215875,0.2806099997833371,291,OK
64,28,0.09610970038920641,0.5285682999528944,0.306031699758023,291,OK
64,29,0.087398000061512,0.5204428001306951,0.33976580016314983,291,OK
64,30,0.08324320008978248,0.5475939000025392,0.23894779989495873,291,OK
64,31,0.09948570001870394,0.4472647998481989,0.22559399995952845,291,OK
64,32,0.08664310025051236,0.5291229002177715,0.34182720026001334,291,OK
64,33,0.0708424998447299,0.5775314997881651,0.2644354999065399,291,OK
64,34,0.06750239990651608,0.5722037996165454,0.24386030016466975,291,OK
64,35,0.10009910026565194,0.4790860996581614,0.24903650023043156,291,OK
64,36,0.10526590002700686,0.5389001001603901,0.29884699964895844,291,OK
