MsgSize,Run,KeyGen,Enc,Dec,CiphertextSize,Status
16,1,0.04849560000002384,0.09986640000715852,0.050498099997639656,97,OK
16,2,0.04930520011112094,0.09786769980564713,0.05543800024315715,97,OK
16,3,0.0463621998205781,0.10078659979626536,0.05126249976456165,97,OK
16,4,0.05291400011628866,0.10359239997342229,0.05371230002492666,97,OK
16,5,0.05336609994992614,0.09745290037244558,0.05807590018957853,97,OK
16,6,0.047305400017648935,0.10403530020266771,0.05404499964788556,97,OK
16,7,0.05291870003566146,0.10854890011250973,0.05488259997218847,97,OK
16,8,0.05180539982393384,0.09541790001094341,0.057804400101304054,97,OK
16,9,0.04567709984257817,0.09703029971569777,0.056034100241959095,97,OK
16,10,0.04651780007407069,0.09591230005025864,0.052796799689531326,97,OK
16,11,0.049127900041639805,0.09701979998499155,0.0513110002502799,97,OK
16,12,0.054046500008553267,0.10215499997138977,0.05323299998417497,97,OK
16,13,0.05560870002955198,0.10314870020374656,0.05691590020433068,97,OK
16,14,0.052513299975544214,0.10465080011636019,0.05447940016165376,97,OK
16,15,0.05020900024101138,0.10704280016943812,0.06101829977706075,97,OK
16,16,0.053645099978893995,0.11947620008140802,0.05745920026674867,97,OK
16,17,0.055957000236958265,0.11266120010986924,0.054040499962866306,97,OK
16,18,0.061194200068712234,0.11610620003193617,0.05444029998034239,97,OK
16,19,0.05857150023803115,0.11418599961325526,0.05153709976002574,97,OK
16,20,0.05972599983215332,0.12292680004611611,0.08642629999667406,97,OK
16,21,0.05619770009070635,0.11088760010898113,0.053726100362837315,97,OK
16,22,0.04920140001922846,0.12344140000641346,0.051015099976211786,97,OK
16,23,0.05399439996108413,0.10407290002331138,0.052920700050890446,97,OK
16,24,0.04894249979406595,0.10144740017130971,0.05047680018469691,97,OK
16,25,0.0519077000208199,0.11515199998393655,0.050923800095915794,97,OK
16,26,0.0567672997713089,0.10489029996097088,0.05451299995183945,97,OK
16,27,0.049771799705922604,0.11268469970673323,0.05469960020855069,97,OK
16,28,0.05352569976821542,0.10715830000117421,0.05713510001078248,97,OK
16,29,0.0553508996963501,0.100777099840343,0.052096299827098846,97,OK
16,30,0.05777220008894801,0.11331890011206269,0.05431240005418658,97,OK
16,31,0.05592240020632744,0.11099620023742318,0.05581959988921881,97,OK
16,32,0.05757280020043254,0.1072293003089726,0.055422600358724594,97,OK
16,33,0.051376599818468094,0.10504209995269775,0.058912300039082766,97,OK
16,34,0.05664859991520643,0.09947679983451962,0.04785999981686473,97,OK
16,35,0.05868729995563626,0.09997429978102446,0.05034200008958578,97,OK
16,36,0.04945890000090003,0.09350190032273531,0.05898889992386103,97,OK
16,37,0.05680050002411008,0.11096279975026846,0.05225780000910163,97,OK
16,38,0.04896970000118017,0.10308260004967451,0.05392169998958707,97,OK
16,39,0.04772809986025095,0.10555220022797585,0.054935900028795004,97,OK
16,40,0.055260800290852785,0.11659300001338124,0.05459870025515556,97,OK
16,41,0.05316899996250868,0.10373520012944937,0.05106149986386299,97,OK
16,42,0.050583300180733204,0.10825769975781441,0.05595790036022663,97,OK
16,43,0.0593189001083374,0.10219250014051795,0.05791039997711778,97,OK
16,44,0.05425800010561943,0.10531150037422776,0.046332300174981356,97,OK
16,45,0.05075669987127185,0.1104642003774643,0.053570999763906,97,OK
16,46,0.061182300094515085,0.11313100019469857,0.05705259973183274,97,OK
16,47,0.05627040006220341,0.11439020000398159,0.05587080027908087,97,OK
16,48,0.050986799877136946,0.10060949996113777,0.052623600233346224,97,OK
16,49,0.05794280022382736,0.11049750028178096,0.05207099998369813,97,OK
16,50,0.05359390005469322,0.10259979963302612,0.0597010999917984,97,OK
32,1,0.05857079988345504,0.2739548999816179,0.12241980014368892,194,OK
32,2,0.054634999949485064,0.21051339991390705,0.10785350017249584,194,OK
32,3,0.056234899908304214,0.22515300009399652,0.11229699989780784,194,OK
32,4,0.05579430004581809,0.22722680028527975,0.11734000034630299,194,OK
32,5,0.04905139980837703,0.2126285000704229,0.09862500010058284,194,OK
32,6,0.060338899958878756,0.21014539990574121,0.10359330009669065,194,OK
32,7,0.053278999868780375,0.22180920001119375,0.1063744998537004,194,OK
32,8,0.05293819960206747,0.21175639983266592,0.10982390027493238,194,OK
32,9,0.049202900379896164,0.19310649996623397,0.10456599993631244,194,OK
32,10,0.049113300163298845,0.20308259967714548,0.10179990017786622,194,OK
32,11,0.051240399945527315,0.20345160039141774,0.10114779975265265,194,OK
32,12,0.051770399790257215,0.22941100038588047,0.10352319991216063,194,OK
32,13,0.05485920002683997,0.20505320001393557,0.10644759982824326,194,OK
32,14,0.05168010015040636,0.20248869992792606,0.10691430000588298,194,OK
32,15,0.0591414999216795,0.2092009000480175,0.11040590004995465,194,OK
32,16,0.05518920021131635,0.21078049996867776,0.10349110001698136,194,OK
32,17,0.05056459968909621,0.20674020005390048,0.11068179970607162,194,OK
32,18,0.042849000077694654,0.20092380000278354,0.10095199989154935,194,OK
32,19,0.05073789972811937,0.2115595997311175,0.11584290023893118,194,OK
32,20,0.05073220003396273,0.21628950024023652,0.10129019990563393,194,OK
32,21,0.05869519989937544,0.23436259990558028,0.10920529998838902,194,OK
32,22,0.0489247003570199,0.19960170006379485,0.11009160010144114,194,OK
32,23,0.055358000099658966,0.22203449998050928,0.11527650011703372,194,OK
